Ω√¡°,1¿Œ¥Á ±ππŒ√—º“µÊ(∏Ì∏Ò) (∏∏ø¯)
1953,0.2
1954,0.3
1955,0.5
1956,0.7
1957,0.9
1958,0.9
1959,0.9
1960,1
1961,1.2
1962,1.4
1963,1.9
1964,2.7
1965,2.9
1966,3.7
1967,4.5
1968,5.6
1969,7.2
1970,8.8
1971,10.5
1972,12.8
1973,16.2
1974,22.9
1975,29.6
1976,40.2
1977,51
1978,68.2
1979,86.2
1980,103.3
1981,126.5
1982,144.3
1983,168.8
1984,191.8
1985,211.2
1986,244.5
1987,288.8
1988,344.7
1989,389.4
1990,467.4
1991,559.5
1992,633.6
1993,712.2
1994,832.3
1995,965.5
1996,1074.4
1997,1173.1
1998,1145.6
1999,1254.8
2000,1376.9
2001,1482.4
2002,1641
2003,1742.3
2004,1886.1
2005,1973
2006,2070
2007,2232.6
2008,2353.5
2009,2440.7
2010,2673
2011,2798.6
2012,2898.8
2013,2995.1
2014,3094.8
2015,3260.2
2016,3411.2
2017,3588.6
2018,3693
2019,3753.9
2020,3776.6
2021,4048.2
