시점,가계총처분가능소득(명목) (십억원)
1975,8146.4
1976,11045.4
1977,14083.2
1978,19087.4
1979,24043.9
1980,28155.9
1981,35471.1
1982,40242.7
1983,46501.1
1984,53881.9
1985,60429.2
1986,70624.8
1987,83180.6
1988,97886.1
1989,112065.9
1990,134355.5
1991,167574.4
1992,191770.2
1993,216155.6
1994,251307.8
1995,285300.6
1996,324538.6
1997,350390.9
1998,366246.5
1999,381230.2
2000,403898.6
2001,432603.2
2002,466829.3
2003,494340.2
2004,532359.3
2005,556248.7
2006,581833.5
2007,617108.9
2008,658676.7
2009,681634.6
2010,722576
2011,762753.3
2012,793887.9
2013,831189.6
2014,865319.8
2015,925744.6
2016,948800.5
2017,982709.9
2018,1025640
2019,1058703.8
2020,1098173
2021,1154794.2
