시점,국내총생산(명목) (십억원)
1953,47.7
1954,66.3
1955,114.2
1956,151.5
1957,198.4
1958,207.6
1959,220.8
1960,249.9
1961,301.7
1962,365.9
1963,518.5
1964,739.7
1965,831.4
1966,1066.1
1967,1313.6
1968,1692.9
1969,2212.7
1970,2796.6
1971,3438
1972,4267.7
1973,5527.3
1974,7905
1975,10543.6
1976,14472.8
1977,18608.1
1978,25154.5
1979,32402.3
1980,39725.1
1981,49669.8
1982,57286.6
1983,68080.1
1984,78591.3
1985,88129.7
1986,102985.8
1987,121697.8
1988,145994.7
1989,165801.8
1990,200556.2
1991,242481.1
1992,277540.8
1993,315181.3
1994,372493.4
1995,436988.8
1996,490850.9
1997,542001.8
1998,537215.3
1999,591453
2000,651634.4
2001,707021.3
2002,784741.3
2003,837365
2004,908439.2
2005,957447.8
2006,1005601.5
2007,1089660.2
2008,1154216.5
2009,1205347.7
2010,1322611.2
2011,1388937.2
2012,1440111.4
2013,1500819.1
2014,1562928.9
2015,1658020.4
2016,1740779.6
2017,1835698.2
2018,1898192.6
2019,1924498.1
2020,1940726.2
2021,2071658
