시점,국내총생산(실질성장률) (%)
1954,7.5
1955,5.6
1956,0.6
1957,9.4
1958,6.6
1959,5.6
1960,2.3
1961,6.9
1962,3.9
1963,9
1964,9.5
1965,7.3
1966,12
1967,9.1
1968,13.2
1969,14.6
1970,10.1
1971,10.5
1972,7.2
1973,14.9
1974,9.5
1975,7.8
1976,13.2
1977,12.3
1978,11
1979,8.7
1980,-1.6
1981,7.2
1982,8.3
1983,13.4
1984,10.6
1985,7.8
1986,11.3
1987,12.7
1988,12
1989,7.1
1990,9.9
1991,10.8
1992,6.2
1993,6.9
1994,9.3
1995,9.6
1996,7.9
1997,6.2
1998,-5.1
1999,11.5
2000,9.1
2001,4.9
2002,7.7
2003,3.1
2004,5.2
2005,4.3
2006,5.3
2007,5.8
2008,3
2009,0.8
2010,6.8
2011,3.7
2012,2.4
2013,3.2
2014,3.2
2015,2.8
2016,2.9
2017,3.2
2018,2.9
2019,2.2
2020,-0.7
2021,4.1
