½ÃÁ¡,±¹¹ÎÃÑ¼Òµæ(¸í¸ñ) (½Ê¾ï¿ø)
1953,48.3
1954,66.9
1955,115.7
1956,153
1957,200
1958,209.2
1959,222.5
1960,252.1
1961,305.4
1962,370.1
1963,523.2
1964,747.6
1965,843.1
1966,1089
1967,1353.8
1968,1739.7
1969,2269.8
1970,2847.4
1971,3464.3
1972,4277
1973,5532.7
1974,7933.4
1975,10458.3
1976,14408.7
1977,18554.9
1978,25227.5
1979,32345.9
1980,39363.6
1981,48993
1982,56756.9
1983,67370.1
1984,77479.6
1985,86197.2
1986,100772.1
1987,120223.8
1988,144864
1989,165314.1
1990,200355.3
1991,242234.5
1992,277172.6
1993,314760.4
1994,371554.7
1995,435384.8
1996,489129.4
1997,539090.8
1998,530262.2
1999,584929.4
2000,647274.2
2001,702236.4
2002,781828.8
2003,834443.2
2004,906864.7
2005,950685.4
2006,1002664.7
2007,1086897.3
2008,1154509.7
2009,1203479.8
2010,1324586.9
2011,1397534.8
2012,1455170.3
2013,1510384.9
2014,1570493.3
2015,1663206.6
2016,1747143.5
2017,1843180.9
2018,1905837.5
2019,1941107.9
2020,1957669.9
2021,2094721.3
