시점,지역내총생산(명목) - 강원도 (백만원)
1985,3772429
1986,4315140
1987,4924871
1988,5481832
1989,6045676
1990,7148439
1991,8053900
1992,8838286
1993,9527230
1994,10982123
1995,12791671
1996,14855412
1997,16168253
1998,15903547
1999,16912637
2000,17788006
2001,18862289
2002,20391937
2003,22422806
2004,23659379
2005,24386313
2006,25929023
2007,27805160
2008,29005514
2009,30215541
2010,31728914
2011,33087301
2012,34556834
2013,36278698
2014,38775764
2015,40867985
2016,43078659
2017,45511732
2018,46925797
2019,48822640
2020,48839465
