시점,지역내총생산(명목) - 경기도 (백만원)
1985,12713559
1986,15529457
1987,18759741
1988,23298253
1989,27260804
1990,33760950
1991,41922950
1992,48336038
1993,55921306
1994,66830002
1995,78571474
1996,86662036
1997,92438882
1998,92208382
1999,108051731
2000,122328279
2001,135724632
2002,151429079
2003,164060992
2004,179960159
2005,192127458
2006,205603085
2007,221225028
2008,235058658
2009,248016323
2010,278532130
2011,292825058
2012,311414578
2013,333380088
2014,351734517
2015,381978306
2016,407437529
2017,451426420
2018,479822189
2019,477413452
2020,486674844
