시점,지역내총생산(명목) - 경상남도 (백만원)
1985,9937947
1986,11519410
1987,13132496
1988,15906954
1989,17667655
1990,21816075
1991,26180118
1992,31758419
1993,35064537
1994,42587481
1995,50507378
1996,55126907
1997,62900923
1998,37824113
1999,40626070
2000,44406055
2001,48912674
2002,53736365
2003,57189320
2004,61723288
2005,65411675
2006,68983266
2007,75474050
2008,82448732
2009,86011704
2010,90168392
2011,94329687
2012,98371195
2013,99701323
2014,101055802
2015,106590936
2016,109338189
2017,109492183
2018,110720199
2019,114020931
2020,112092547
