시점,지역내총생산(명목) - 경상북도 (백만원)
1985,6986570
1986,8257601
1987,9736551
1988,12070377
1989,12713535
1990,14332589
1991,17030294
1992,18638623
1993,20437217
1994,24973230
1995,28606422
1996,31357640
1997,36985388
1998,36440648
1999,40409833
2000,45717427
2001,47614033
2002,51835107
2003,56811693
2004,63875959
2005,67050092
2006,68926098
2007,71809595
2008,76391528
2009,79081552
2010,87700608
2011,91009535
2012,92989227
2013,97211566
2014,103476804
2015,103120174
2016,107440609
2017,110027724
2018,108782638
2019,106805459
2020,105249629
