시점,지역내총생산(명목) - 대전광역시 (백만원)
1987,3930883
1988,4988645
1989,6225825
1990,7188720
1991,8207660
1992,9187802
1993,10509512
1994,11799397
1995,13031225
1996,13013119
1997,13725526
1998,15340760
1999,16381083
2000,18362849
2001,19968379
2002,21317799
2003,22076296
2004,23191548
2005,24669345
2006,26159588
2007,27928016
2008,30224696
2009,31679831
2010,32877411
2011,33675454
2012,34930512
2013,37162614
2014,39335023
2015,40537224
2016,41308348
2017,43092218
2018,44102921
2019,3.68
2020,-1.03
