시점,지역내총생산(명목) - 부산광역시 (백만원)
1985,7009992
1986,7983184
1987,9294215
1988,10674301
1989,11545829
1990,14404071
1991,17060696
1992,18362032
1993,20325684
1994,23363699
1995,27058609
1996,29923432
1997,32202026
1998,32419675
1999,34809328
2000,36540735
2001,40806680
2002,43855660
2003,47878610
2004,51183872
2005,52915427
2006,54818675
2007,59096264
2008,63844756
2009,63676073
2010,66831000
2011,68484173
2012,71155823
2013,73319051
2014,77562517
2015,82701497
2016,85536348
2017,87835601
2018,89979896
2019,93012134
2020,91698334
