시점,지역내총생산(명목) - 서울특별시 (백만원)
1985,23118019
1986,27275885
1987,32075111
1988,37559452
1989,43432475
1990,53262487
1991,64701421
1992,73637452
1993,84447376
1994,97961330
1995,112634087
1996,124055701
1997,135743918
1998,134702509
1999,147306944
2000,165112974
2001,178594996
2002,199442039
2003,212213320
2004,219391206
2005,232177439
2006,245598327
2007,266598542
2008,282065734
2009,293694316
2010,313281033
2011,326415107
2012,334324998
2013,340711607
2014,350258443
2015,370167867
2016,387364432
2017,404079600
2018,423742112
2019,435927212
2020,440320184
