시점,지역내총생산(명목) - 인천광역시 (백만원)
1985,4227110
1986,4921002
1987,5737030
1988,7062631
1989,8136135
1990,10283705
1991,13152754
1992,14592316
1993,16381881
1994,18867510
1995,22961684
1996,25332474
1997,28107431
1998,26247812
1999,27803826
2000,29954119
2001,33441442
2002,38463197
2003,40605167
2004,44384378
2005,46063682
2006,49105565
2007,54061455
2008,53700045
2009,56344673
2010,63266348
2011,64417599
2012,66408453
2013,69398005
2014,74611777
2015,80137506
2016,84663335
2017,88547364
2018,88735401
2019,90040500
2020,90045705
