시점,지역내총생산(명목) - 전국 (백만원)
1985,91625288
1986,107026220
1987,124635951
1988,149134859
1989,168562344
1990,205514365
1991,249260017
1992,285179367
1993,322594726
1994,380421899
1995,445101282
1996,493687988
1997,545131814
1998,541141920
1999,594682809
2000,655879090
2001,710997900
2002,786394903
2003,843322858
2004,914889562
2005,958976213
2006,1011291960
2007,1093215642
2008,1159499299
2009,1207708628
2010,1327443926
2011,1393306281
2012,1445391103
2013,1505238577
2014,1566088413
2015,1660844316
2016,1743574724
2017,1840348850
2018,1902527946
2019,1927421209
2020,1936043025
