시점,지역내총생산(명목) - 제주특별자치도 (백만원)
1985,822877
1986,917465
1987,1117036
1988,1331203
1989,1648628
1990,1957399
1991,2462499
1992,2715515
1993,2985850
1994,3642555
1995,4398940
1996,4678669
1997,5074735
1998,4941918
1999,5371842
2000,5750554
2001,6102677
2002,6877657
2003,7425866
2004,8144202
2005,8452138
2006,8699945
2007,9308795
2008,9602448
2009,10595922
2010,11158882
2011,12207092
2012,13193136
2013,13960947
2014,15147843
2015,16946709
2016,18719373
2017,19981072
2018,20051121
2019,20308737
2020,19532179
