시점,지역내총생산(명목) - 충청남도 (백만원)
1985,5890520
1986,6869336
1987,7639501
1988,9184167
1989,6594861
1990,7573950
1991,9219276
1992,11086696
1993,12951261
1994,15874215
1995,18564287
1996,21482678
1997,25162760
1998,25505274
1999,29165407
2000,32628538
2001,34795547
2002,38765312
2003,43579448
2004,49063652
2005,52594110
2006,55872369
2007,60502127
2008,65704608
2009,73497025
2010,85104574
2011,92244734
2012,94248204
2013,93938560
2014,96780692
2015,101299131
2016,106869144
2017,115557697
2018,115534184
2019,113488325
2020,114016811
