시점,지역내총생산(실질) - 강원도 (백만원)
1985,13811635
1986,14954820
1987,16025537
1988,16714920
1989,17524914
1990,18279299
1991,18323230
1992,18823604
1993,19358364
1994,20722664
1995,22896326
1996,24901426
1997,26025382
1998,24050209
1999,25204250
2000,26145825
2001,26668912
2002,27377155
2003,28861908
2004,29386767
2005,29695748
2006,31550828
2007,32853097
2008,33674653
2009,33976932
2010,35452559
2011,36296644
2012,37021010
2013,38211948
2014,40077987
2015,40867985
2016,42047331
2017,43761362
2018,44574334
2019,46064137
2020,45122237
