시점,지역내총생산(실질) - 경기도 (백만원)
1985,35376012
1986,41139886
1987,48500639
1988,55559190
1989,61089225
1990,69166891
1991,79327361
1992,83213769
1993,91248247
1994,100442143
1995,112681418
1996,121352335
1997,124658091
1998,116843281
1999,140742745
2000,157417148
2001,171443115
2002,186126487
2003,196745165
2004,208742156
2005,222816035
2006,242756988
2007,255550481
2008,268221081
2009,273835863
2010,300716256
2011,313748238
2012,327820620
2013,346430719
2014,362159526
2015,381978306
2016,399827962
2017,426172886
2018,451914662
2019,462288338
2020,467281507
