시점,지역내총생산(실질) - 경상북도 (백만원)
1985,16624884
1986,19196053
1987,21448162
1988,24585565
1989,24720005
1990,25427954
1991,27589044
1992,27773441
1993,28681426
1994,32763852
1995,35531357
1996,38775525
1997,44492072
1998,41615486
1999,47828898
2000,54673687
2001,56490106
2002,60328507
2003,65372870
2004,69948144
2005,74596282
2006,77440727
2007,83621419
2008,86102708
2009,85724356
2010,92044050
2011,94466406
2012,95229383
2013,98842637
2014,105901155
2015,103120174
2016,105745496
2017,104429785
2018,103149107
2019,104417627
2020,101376083
