시점,지역내총생산(실질) - 광주광역시 (백만원)
1987,7421376
1988,8961220
1989,9605593
1990,10909096
1991,11814152
1992,12274018
1993,13178444
1994,14575241
1995,16417691
1996,17978636
1997,18559392
1998,16743576
1999,18092047
2000,19742330
2001,20828849
2002,22420270
2003,22585186
2004,23198230
2005,24953345
2006,26193910
2007,27392264
2008,27791206
2009,27180608
2010,30457831
2011,31011787
2012,31650181
2013,32859385
2014,34169569
2015,34845589
2016,35933462
2017,36384616
2018,38216077
2019,39624032
2020,39214877
