시점,지역내총생산(실질) - 대구광역시 (백만원)
1985,13889560
1986,15391591
1987,17380068
1988,18711134
1989,19496616
1990,22141545
1991,22882690
1992,23217637
1993,24107789
1994,26208027
1995,28303019
1996,30238666
1997,31886745
1998,28738612
1999,31512976
2000,33378959
2001,34134803
2002,35743105
2003,36396595
2004,38364894
2005,39039831
2006,40255437
2007,42074727
2008,42614503
2009,41429265
2010,44114977
2011,45657599
2012,47367831
2013,49036361
2014,50329551
2015,51822013
2016,51823902
2017,52721214
2018,53964991
2019,54762237
2020,54000377
