시점,지역내총생산(실질) - 대전광역시 (백만원)
1987,11575493
1988,13258651
1989,14649910
1990,15517530
1991,16669797
1992,17140681
1993,18350280
1994,19742504
1995,20894508
1996,19922027
1997,21139402
1998,23066261
1999,23813574
2000,25497366
2001,26757005
2002,27540951
2003,28061744
2004,29074607
2005,29906786
2006,30273625
2007,31068315
2008,33247905
2009,34446444
2010,34977219
2011,35375467
2012,36081650
2013,37162614
2014,38456557
2015,38772485
2016,39135729
2017,40684092
2018,41061819
2019,3.68
2020,-1.03
