시점,지역내총생산(실질) - 부산광역시 (백만원)
1985,21773910
1986,23751051
1987,26214172
1988,28703583
1989,29096468
1990,33374783
1991,35523301
1992,35643092
1993,37478788
1994,39996488
1995,43749924
1996,46044004
1997,47291520
1998,44426186
1999,49763153
2000,51705541
2001,55382619
2002,57866997
2003,59924431
2004,61227100
2005,63032743
2006,65299325
2007,68944140
2008,70785024
2009,68336815
2010,71968834
2011,73792908
2012,75742868
2013,77000292
2014,80258570
2015,82701497
2016,84114530
2017,85441974
2018,86889875
2019,89105372
2020,86499417
