시점,지역내총생산(실질) - 서울특별시 (백만원)
1985,77310769
1986,85661549
1987,97480930
1988,107819304
1989,116050168
1990,128022269
1991,139296966
1992,150753773
1993,162921440
1994,173338951
1995,185098581
1996,195791851
1997,204816198
1998,195891236
1999,213043805
2000,234450139
2001,244418894
2002,261328220
2003,266033918
2004,269197325
2005,280676032
2006,292392945
2007,309525926
2008,317128072
2009,321873162
2010,333249300
2011,343756313
2012,348568408
2013,354319250
2014,359661759
2015,370167867
2016,380679274
2017,389584629
2018,403605888
2019,414092568
2020,413669812
