시점,지역내총생산(실질) - 인천광역시 (백만원)
1985,13731212
1986,15072642
1987,17114977
1988,19699166
1989,21144940
1990,24487160
1991,28916205
1992,29433757
1993,31216056
1994,33147157
1995,38546919
1996,40762864
1997,43341199
1998,37317452
1999,40446510
2000,43019365
2001,46255108
2002,50972798
2003,52157498
2004,54987798
2005,56922112
2006,59522631
2007,64675503
2008,64033773
2009,63153061
2010,69301148
2011,70536942
2012,73129842
2013,75073082
2014,78694187
2015,80137506
2016,82257112
2017,85791563
2018,86426825
2019,87963593
2020,85404479
