시점,지역내총생산(실질) - 전국 (백만원)
1985,278804522
1986,308977877
1987,346934339
1988,388842170
1989,415497349
1990,458087720
1991,506459860
1992,535918425
1993,572522054
1994,624802095
1995,687869000
1996,737008292
1997,782317355
1998,746180147
1999,832948475
2000,906476368
2001,954266932
2002,1020790393
2003,1058162561
2004,1106646717
2005,1157478093
2006,1220355850
2007,1290847174
2008,1325847750
2009,1338962852
2010,1432683907
2011,1484628137
2012,1519358867
2013,1566633412
2014,1615774616
2015,1660844316
2016,1709742565
2017,1762932983
2018,1814075680
2019,1854370144
2020,1838944093
