시점,지역내총생산(실질) - 전라남도 (백만원)
1985,22969944
1986,24558114
1987,20682782
1988,23476717
1989,24028343
1990,25868226
1991,29137813
1992,31299565
1993,32878511
1994,35789612
1995,39492280
1996,42154621
1997,46754746
1998,44321517
1999,45036095
2000,47559118
2001,49464042
2002,52071978
2003,52730314
2004,55586311
2005,56104942
2006,57944653
2007,61058914
2008,61841218
2009,61529089
2010,67644440
2011,66697766
2012,67142356
2013,68435908
2014,68405097
2015,68878376
2016,70449724
2017,71340179
2018,72888289
2019,74618019
2020,74530163
