시점,지역내총생산(실질) - 전라북도 (백만원)
1985,12210367
1986,13208204
1987,13745742
1988,15630632
1989,15630946
1990,16261164
1991,17888088
1992,19139603
1993,20275704
1994,21899213
1995,25085280
1996,27201090
1997,28700006
1998,26187025
1999,28618114
2000,30236753
2001,31465262
2002,32419090
2003,32768805
2004,33844818
2005,34414457
2006,36053645
2007,37890302
2008,39294329
2009,39655937
2010,41674930
2011,43285951
2012,43728235
2013,45637671
2014,46567890
2015,47018028
2016,46664550
2017,47553099
2018,48350793
2019,49506041
2020,49573729
