시점,지역내총생산(실질) - 제주특별자치도 (백만원)
1985,3135822
1986,3246888
1987,3665368
1988,4011296
1989,4888045
1990,4953039
1991,5529812
1992,6204297
1993,6286562
1994,6611720
1995,7450774
1996,7641803
1997,8057569
1998,7456360
1999,7957145
2000,8587855
2001,9200210
2002,9693184
2003,9960579
2004,10579746
2005,10530282
2006,10740812
2007,11335159
2008,11450325
2009,12158772
2010,12380394
2011,13231976
2012,14067649
2013,14763437
2014,15785920
2015,16946709
2016,18307842
2017,19144657
2018,18968300
2019,19186190
2020,17920915
