시점,지역내총생산(실질) - 충청남도 (백만원)
1985,18357268
1986,20401171
1987,21765224
1988,24439952
1989,17899810
1990,18072575
1991,19319295
1992,21292103
1993,23479111
1994,26534043
1995,28831852
1996,32476312
1997,36555909
1998,34724126
1999,40169928
2000,44559007
2001,46432861
2002,50205811
2003,55468963
2004,60583607
2005,66603884
2006,72238019
2007,76413497
2008,80523469
2009,82604137
2010,92056862
2011,98515870
2012,99219568
2013,97403497
2014,100199403
2015,101299131
2016,104503363
2017,110165655
2018,110873163
2019,112310782
2020,111767711
