시점,지역내총생산(실질) - 충청북도 (백만원)
1985,9306817
1986,9498358
1987,10025030
1988,11167116
1989,12347515
1990,13611652
1991,15044395
1992,15973733
1993,17719733
1994,19784995
1995,22086859
1996,24310971
1997,24840759
1998,22690502
1999,26115197
2000,27699659
2001,28294054
2002,29656804
2003,30693993
2004,33573276
2005,33307920
2006,36176510
2007,38575637
2008,37908674
2009,40008263
2010,43503412
2011,46066868
2012,47647389
2013,49519653
2014,51596699
2015,55191633
2016,58380533
2017,61953139
2018,65830010
2019,66927772
2020,67800632
