시점,비임금근로자
1963,5178000
1964,5334000
1965,5500000
1966,5543000
1967,5582000
1968,5659000
1969,5736000
1970,5872000
1971,6024000
1972,6377000
1973,6789000
1974,6979000
1975,6940000
1976,7273000
1977,7099000
1978,7171000
1979,7124000
1980,7220000
1981,7420000
1982,7541000
1983,7335000
1984,6798000
1985,6866000
1986,7072000
1987,7164000
1988,7260000
1989,7171000
1990,7135000
1991,6950000
1992,7097000
1993,7290000
1994,7370000
1995,7515000
1996,7653000
1997,7810000
1998,7641000
1999,7628000
2000,7817000
2001,7955000
2002,8026000
2003,7773000
2004,7746000
2005,7645000
2006,7580000
2007,7467000
2008,7418000
2009,7102000
2010,6922000
2011,6930000
2012,7034000
2013,6934000
2014,6939000
2015,6776000
2016,6740000
2017,6791000
2018,6739000
2019,6683000
2020,6573000
2021,6520000
