시점,자영업자 (명)
1963,2817000
1964,2848000
1965,2984000
1966,3009000
1967,3124000
1968,3184000
1969,3238000
1970,3286000
1971,3396000
1972,3554000
1973,3780000
1974,4007000
1975,4008000
1976,4258000
1977,4287000
1978,4445000
1979,4571000
1980,4651000
1981,4735000
1982,4910000
1983,4897000
1984,4578000
1985,4679000
1986,4868000
1987,4994000
1988,5093000
1989,5051000
1990,5068000
1991,4977000
1992,5169000
1993,5258000
1994,5376000
1995,5569000
1996,5710000
1997,5901000
1998,5616000
1999,5703000
2000,5876000
2001,6071000
2002,6212000
2003,6066000
2004,6161000
2005,6141000
2006,6109000
2007,6048000
2008,6005000
2009,5749000
2010,5643000
2011,5657000
2012,5768000
2013,5703000
2014,5720000
2015,5622000
2016,5614000
2017,5682000
2018,5638000
2019,5606000
2020,5531000
2021,5513000
